Start performance test

Loop: 17 			 Variation: 0 			 Cycles: 18000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.656274 ms
Loop: 17 			 Variation: 1 			 Cycles: 18000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.474122 ms
Loop: 17 			 Variation: 2 			 Cycles: 18000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.486275 ms
Loop: 18 			 Variation: 0 			 Cycles: 19000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.924127 ms
Loop: 18 			 Variation: 1 			 Cycles: 19000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.781948 ms
Loop: 18 			 Variation: 2 			 Cycles: 19000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.504061 ms
Loop: 19 			 Variation: 0 			 Cycles: 20000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.146778 ms
Loop: 19 			 Variation: 1 			 Cycles: 20000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.773014 ms
Loop: 19 			 Variation: 2 			 Cycles: 20000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.607333 ms
Loop: 20 			 Variation: 0 			 Cycles: 21000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.805140 ms
Loop: 20 			 Variation: 1 			 Cycles: 21000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.439725 ms
Loop: 20 			 Variation: 2 			 Cycles: 21000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.444743 ms
Loop: 21 			 Variation: 0 			 Cycles: 22000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.659944 ms
Loop: 21 			 Variation: 1 			 Cycles: 22000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.404395 ms
Loop: 21 			 Variation: 2 			 Cycles: 22000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.438201 ms
Loop: 22 			 Variation: 0 			 Cycles: 23000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.870749 ms
Loop: 22 			 Variation: 1 			 Cycles: 23000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.479321 ms
Loop: 22 			 Variation: 2 			 Cycles: 23000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.448759 ms
Loop: 23 			 Variation: 0 			 Cycles: 24000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.775455 ms
Loop: 23 			 Variation: 1 			 Cycles: 24000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.473461 ms
Loop: 23 			 Variation: 2 			 Cycles: 24000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.449456 ms
Loop: 24 			 Variation: 0 			 Cycles: 25000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.727662 ms
Loop: 24 			 Variation: 1 			 Cycles: 25000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.480541 ms
Loop: 24 			 Variation: 2 			 Cycles: 25000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.481977 ms
Loop: 25 			 Variation: 0 			 Cycles: 26000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.753311 ms
Loop: 25 			 Variation: 1 			 Cycles: 26000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.685270 ms
Loop: 25 			 Variation: 2 			 Cycles: 26000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.481434 ms
Loop: 26 			 Variation: 0 			 Cycles: 27000 			 Cache: 0 			  MethodCache: 0 			 Duration: 0.993229 ms
Loop: 26 			 Variation: 1 			 Cycles: 27000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.541084 ms
Loop: 26 			 Variation: 2 			 Cycles: 27000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.526904 ms
